id;loan_amount;start_date;end_date;hash_blockchain;current_status;late_payment_count;last_status_update
1;22892.15;2025-06-03T05:36:08;2025-06-03T04:39:12;bossy ha worth;eek straight;24005;2025-06-03T14:02:03
2;7652.88;2025-06-03T20:31:28;2025-06-03T15:45:52;mmm once;dapper numb notwithstanding;6420;2025-06-03T19:58:11
3;2349.94;2025-06-03T16:35:53;2025-06-03T15:28:03;voluntarily;throughout unwilling blissfully;18255;2025-06-03T18:35:40
4;3565.85;2025-06-02T22:45:57;2025-06-03T17:18:34;ha redraw;considering;5978;2025-06-03T06:06:01
5;1946.45;2025-06-02T22:33:26;2025-06-03T15:11:44;unless;acceptable actually;25985;2025-06-03T04:33:16
6;13549.31;2025-06-02T21:32:02;2025-06-03T01:47:27;intently ack;until an;32369;2025-06-03T14:17:08
7;16615.02;2025-06-03T18:30:40;2025-06-02T22:12:20;failing reservation mean;um meaningfully eek;15854;2025-06-03T05:36:33
8;4386.1;2025-06-03T08:00:46;2025-06-03T13:45:15;geez tenant unless;yowza suddenly give;11710;2025-06-03T08:16:34
9;20957.23;2025-06-03T05:13:44;2025-06-03T02:35:28;wherever;frantically whoever;5049;2025-06-03T02:30:46
10;4054.68;2025-06-03T00:06:41;2025-06-02T23:11:30;what;whereas when commonly;12284;2025-06-02T21:31:50
