id;due_date;payment_date;borrow_verified;partner_verified;comprobant_file;days_late;penalty_amount;payment_status
1;2025-06-03T16:46:09;2025-06-03T07:26:24;false;false;guzzle quadruple schlep;8206;19995.88;with per reorient
2;2025-06-03T20:30:27;2025-06-03T19:27:27;false;true;unless density;15557;3498.83;idealistic
3;2025-06-03T14:04:53;2025-06-03T08:42:20;false;false;emulsify;3971;15725.43;treble noon
4;2025-06-02T23:41:51;2025-06-02T21:18:02;true;false;lest athletic finger;19925;27484.68;splosh below declaration
5;2025-06-03T08:37:23;2025-06-03T08:26:39;true;true;long-term attraction wildly;14009;31207.95;ick as till
6;2025-06-03T15:14:23;2025-06-03T06:05:14;true;false;softly unlawful decision;1396;22972.8;softly
7;2025-06-03T04:38:24;2025-06-03T08:09:33;true;false;and;13983;20167.34;evince drat
8;2025-06-02T21:08:24;2025-06-02T21:09:26;true;true;hunt jeopardise;8814;9934.09;obscure tomorrow
9;2025-06-03T09:11:10;2025-06-03T07:14:16;false;true;so judicious ambitious;9337;15697.68;inasmuch towards
10;2025-06-03T09:51:22;2025-06-03T06:58:52;true;true;quirkily pfft blindly;15912;11473.16;furthermore
