id;partner_id;interest;loan_term;monthly_payment;total_repayment_amount;status;created_at
1;27927;30197.25;2632;11157.91;17694.12;airbrush premier;2025-06-03T16:11:56
2;14021;26397.13;20472;10521.48;29755.06;perp;2025-06-03T19:39:29
3;20906;14907.26;9690;32487.26;13811.4;usher;2025-06-03T19:27:10
4;7309;12354.49;14118;24628.67;22544.47;geez blend;2025-06-03T15:09:25
5;5391;3885.12;19574;29804.19;17802.35;among;2025-06-03T15:48:35
6;19472;12642.94;21079;25201.95;31219.3;abscond viability;2025-06-03T13:59:52
7;8601;30703.35;2054;25705.55;7408.52;ha positively;2025-06-03T02:08:31
8;14494;16522.48;20210;30105.51;8140.05;warmly;2025-06-02T21:13:27
9;29846;24509.74;12037;13981.99;11901.59;custom though;2025-06-03T04:51:39
10;16167;30116.81;15507;9112.9;15549.19;cheerful finally;2025-06-03T19:17:48
