id;loan_amount;status;created_at
1;11471.49;cop-out task;2025-06-02T23:54:07
2;20142.94;now impure;2025-06-03T17:57:39
3;1911.39;stable;2025-06-03T15:01:00
4;4752.27;case form astride;2025-06-03T06:40:04
5;13612.96;unwieldy ridge victoriously;2025-06-03T03:08:01
6;8639.77;psst;2025-06-03T18:50:42
7;22963.84;lest warm;2025-06-03T10:04:03
8;8991.7;whoever favorable inexperienced;2025-06-03T17:46:36
9;26950.55;quarrelsomely;2025-06-03T07:33:08
10;17042.65;elegantly frantically unless;2025-06-03T11:42:57
