id;name;description;monthly_price;annual_price;status
1;barring towards around;when;13773.36;16355.05;shakily teriyaki frozen
2;svelte abaft galvanize;opposite;7148.89;29426.26;at pulp out
3;density;calculating;30555.73;30037.56;grass
4;exonerate sedately degrease;punctually via;26429.78;21590.53;gadzooks
5;creature;firsthand teammate even;3297.18;26435.62;finger
6;department fooey gestate;but;5319.07;31766.25;motor dredger
7;since;natural;26040.64;13858.72;understanding unused
8;hunger as;funny;31219.65;31507.01;by lest
9;phew;lovingly meanwhile brisk;13817.28;15280.87;statue squid commonly
10;scratchy tapioca;institutionalize hmph among;22092;7723.83;engage if as
