id;start_date;end_date;status
1;2025-06-03T17:34:27;2025-06-03T15:24:13;inside uneven
2;2025-06-02T23:02:02;2025-06-03T10:57:59;jive serene
3;2025-06-03T03:05:44;2025-06-03T16:54:01;vast youthfully fort
4;2025-06-03T17:43:54;2025-06-03T03:36:15;forgery
5;2025-06-03T02:44:10;2025-06-03T00:01:08;unto ah
6;2025-06-03T04:54:29;2025-06-03T17:21:00;fully lanky
7;2025-06-03T03:30:24;2025-06-03T03:11:16;spirit effector
8;2025-06-03T07:19:56;2025-06-03T01:01:49;yahoo
9;2025-06-03T07:34:30;2025-06-03T10:58:44;deflect a uh-huh
10;2025-06-03T03:29:05;2025-06-03T03:41:41;gah lumpy rue
